epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.22447,2.09769,7.96661,2.01321,0.01232,0.18182,0.01046,0.00598,2.47487,7.80934,2.61245,0.00022,0.00022,0.00022
2,12.7469,1.75103,4.03621,1.62417,0.98357,0.27273,0.38874,0.18542,1.84926,5.53871,1.61847,0.000456205,0.000456205,0.000456205
3,16.1978,1.62093,2.47588,1.52022,0.35534,0.22727,0.1874,0.06693,2.25852,5.77645,2.16477,0.00068845,0.00068845,0.00068845
4,19.8464,1.80165,2.18966,1.58396,0.00149,0.27273,0.00121,0.00035,3.11574,197.581,5.0953,0.000916735,0.000916735,0.000916735
5,23.4093,1.68302,2.1661,1.60167,0.09974,0.22727,0.06029,0.02778,1.9291,12.9785,2.3083,0.00114106,0.00114106,0.00114106
6,26.4681,1.70901,1.83961,1.64007,0.00361,0.22727,0.00358,0.00141,2.56508,74.2396,4.02621,0.00136142,0.00136142,0.00136142
7,29.4499,1.66093,1.71254,1.62919,0.00903,0.18182,0.0032,0.00085,3.33963,14.998,9.14452,0.00157783,0.00157783,0.00157783
8,33.3066,1.73116,1.63242,1.64068,0.21781,0.18182,0.08418,0.02876,3.11306,5.20105,4.75542,0.00179028,0.00179028,0.00179028
9,36.6483,1.61861,1.42732,1.5179,0.25088,0.22839,0.2101,0.09705,2.48573,6.66776,2.71512,0.001868,0.001868,0.001868
10,39.6752,1.70509,1.46413,1.59447,0,0,0,0,4.5674,7.48744,6.1809,0.0018515,0.0018515,0.0018515
11,42.6471,1.70822,1.40611,1.54942,0.86982,0.04545,0.06781,0.03709,2.71794,4.27377,3.29638,0.001835,0.001835,0.001835
12,46.5109,1.5783,1.36876,1.48394,0.10265,0.18182,0.04077,0.0149,2.36397,4.25099,2.75641,0.0018185,0.0018185,0.0018185
13,49.8532,1.62707,1.35778,1.4952,0,0,0,0,4.47815,5.6345,6.83414,0.001802,0.001802,0.001802
14,52.7693,1.60977,1.26092,1.5053,0.00371,0.09091,0.0025,0.00092,4.22522,4.65336,5.47647,0.0017855,0.0017855,0.0017855
15,55.7418,1.72746,1.49101,1.54015,0.53108,0.412,0.47274,0.22382,2.10967,2.79996,2.16572,0.001769,0.001769,0.001769
16,59.8458,1.59405,1.29617,1.507,0.61312,0.54545,0.51999,0.24292,1.69501,2.43689,1.75304,0.0017525,0.0017525,0.0017525
17,62.9981,1.65047,1.34756,1.56362,0.3941,0.40909,0.29285,0.1283,2.36567,3.53734,2.2885,0.001736,0.001736,0.001736
18,66,1.56535,1.27657,1.46541,0.37458,0.45455,0.40158,0.19185,1.80732,2.46331,1.84962,0.0017195,0.0017195,0.0017195
19,68.9707,1.53327,1.22073,1.46712,0.72052,0.45455,0.55504,0.24859,1.67703,1.99569,1.80674,0.001703,0.001703,0.001703
20,73.1357,1.48858,1.15514,1.4327,0.65557,0.40909,0.55913,0.32168,1.60717,1.61507,1.63818,0.0016865,0.0016865,0.0016865
21,76.3893,1.48478,1.19898,1.39319,0.72758,0.54545,0.65166,0.31388,1.66928,1.41659,1.57333,0.00167,0.00167,0.00167
